,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,number_of_reviews_ltm,minimum_stay
4626,Luxury Condo in Heart of Bangkok 中文服務 01,Khlong Toei,13.72668,100.56669,Entire home/apt,2807,1,203,3.46,12,14,Short-Term
4629,Luxury Condo in Bangkok City Center 曼谷市中心网红公寓中文服務,Khlong Toei,13.72408,100.56809,Entire home/apt,2214,1,190,3.24,12,16,Short-Term
4632,2CozyBRs/Resort-like/MRT/TrainMarket/Central Plaza,Huai Khwang,13.76004,100.5692,Entire home/apt,2100,10,105,1.82,6,0,Short-Term
4634,10minBTS+BKK's Heart+Pool+Gym+Sauna+FastWifi,Sathon,13.71393,100.51473,Entire home/apt,779,1,108,1.85,25,38,Short-Term
4643,Luxury Condo in heart Bangkok city center曼谷奢華高樓4,Khlong Toei,13.72589,100.56672,Entire home/apt,2371,1,181,3.12,12,16,Short-Term
4646,Luxury Condo at Bangkok city center 曼谷奢华公寓中文服務,Khlong Toei,13.72692,100.56694,Entire home/apt,2756,1,163,2.78,12,1,Short-Term
4652,Pool View Resort-like Condo in Central Bangkok中文服务,Huai Khwang,13.76044,100.56944,Entire home/apt,2736,4,140,2.4,21,9,Short-Term
4669,Canal House Bangkok - Whole house on Mon canal.,Bangkok Yai,13.74582,100.48238,Entire home/apt,2786,1,244,4.24,4,72,Short-Term
4689,"2 Mints walk BTS. 4pp walk Siam, MBK,CTW,WaterGate",Ratchathewi,13.75188,100.53108,Entire home/apt,1650,1,148,2.52,39,24,Short-Term
4734,BACKPACKER Budget Apartment 3,Din Daeng,13.793949,100.571043,Private room,550,1,100,1.72,10,0,Short-Term
4739,Top Loft in Bangkok! Luxurious and best location!,Huai Khwang,13.75362,100.56516,Entire home/apt,2580,20,131,2.25,3,5,Short-Term
4753,"36. PARK ORIGIN, WALK TO  BTS Phrompong-EmQuartier",Khlong Toei,13.72598,100.56636,Entire home/apt,1593,1,105,1.78,34,9,Short-Term
4782,Luxury room in the sky 4 min walk to Ari Downtown,Phaya Thai,13.77488,100.5437,Entire home/apt,1188,1,138,2.36,1,24,Short-Term
4784,Breezy Suites Next to St. Food& Night Life :4-6pax,Vadhana,13.74424,100.55681,Entire home/apt,2300,30,120,2.5,36,39,Long-Term
4817,【VERY CENTRAL】0min BTS ASOKE ※ WIFI ※ FREE NETFLIX,Vadhana,13.73863,100.5589,Entire home/apt,2000,1,190,3.25,23,43,Short-Term
4823,【以梦为马】【小吉祥】邻近抖音网红火车（拉差达）夜市/曼谷辉煌地铁站三分钟—文艺小居所,Huai Khwang,13.783,100.57508,Entire home/apt,1139,1,125,2.19,18,0,Short-Term
4898,Lovely - 3 bedroom condo in the heart of downtown,Khlong Toei,13.732760606703778,100.56284252554178,Entire home/apt,1758,1,15,5.49,1,15,Short-Term
4929,【以梦为马】【小花田】邻近抖音网红火车（拉差达）夜市/曼谷辉煌地铁站三分钟—小清新居所,Huai Khwang,13.78142,100.57568,Entire home/apt,1139,1,107,1.9,18,0,Short-Term
4953,Modern Loft Living near the Nana Skytrain Station,Vadhana,13.74781,100.55509,Entire home/apt,1504,1,189,3.5,1,52,Short-Term
4972,Breezy Apt @Heart of BKK/5min walk to BTS/4-10pax,Parthum Wan,13.74534,100.54992,Entire home/apt,4571,2,155,2.79,36,32,Short-Term
4975,Refurbished 2 bedroom retreat with Pool Access,Vadhana,13.73017,100.57244,Entire home/apt,4280,3,112,2.02,9,36,Short-Term
5087,Breezy Condo Next To St Food&Night Life: VI,Vadhana,13.74703,100.55898,Entire home/apt,1000,30,122,2.25,36,17,Long-Term
5088,"FREE PICK-UP ※ 3-min ASOK Skytrain, Netflix, Pool",Vadhana,13.73671,100.56266,Entire home/apt,5114,1,135,2.41,23,20,Short-Term
5107,YOUR ! safe place. 5min from Airport. 5 star rated,Lat Krabang,13.71979,100.77729,Private room,650,1,133,2.41,1,16,Short-Term
5114,❤  CBD Rachaprasong Shopping | 100m BTS Ploenchit,Vadhana,13.74499,100.55079,Entire home/apt,3500,1,112,2.03,25,9,Short-Term
5117,限时特价步行可达EK，碧亚威试管医院，全新高品质一室一厅 822,Huai Khwang,13.75554,100.57617,Entire home/apt,900,30,111,1.99,20,1,Long-Term
5129,"R1 ★Stylist House★1m to Airp train, 5m to Platinum",Ratchathewi,13.75447,100.54225,Entire home/apt,3792,1,128,2.3,9,34,Short-Term
5130,"R3 ★Ultra Modern★ 1m to Airp train, 5m to Platinum",Ratchathewi,13.75447,100.54225,Entire home/apt,2039,1,114,2.04,9,31,Short-Term
5131,★ PRATUNAM | MODERN ROOM | 1 MIN WALK TO TRAIN,Ratchathewi,13.75447,100.54225,Entire home/apt,2416,1,94,1.69,9,24,Short-Term
5148,"Great price, 100m Short walk to BTS, Why stay far?",Parthum Wan,13.7438,100.54967,Entire home/apt,3743,1,118,2.15,25,1,Short-Term
5170,Superview2bedrooms63sqLuxuryCondo/PoolGymBTS:OnNut,Vadhana,13.71336,100.59951,Entire home/apt,1399,30,100,1.81,1,10,Long-Term
5231,Vegan/Vegetarian Bed&Breakfast in Old BKK_BLUE3,Bangkok Noi,13.76556,100.47445,Private room,2271,1,86,1.76,5,7,Short-Term
5254,Da+ studio No. 4  ( Near Sukhumvit/Asok/Thongloh ),Khlong Toei,13.72653,100.56486,Private room,2057,1,138,2.5,3,34,Short-Term
5283,Hyde S11 High FL · Stylish 1BR Suite (BTS Nana),Vadhana,13.743848,100.556435,Entire home/apt,2000,2,110,2.07,1,35,Short-Term
5286,Big APT near Khaosan/Grand Palace (up to 4per.) #1,Pom Prap Sattru Phai,13.75784,100.5079,Entire home/apt,1056,1,213,3.89,10,48,Short-Term
5296,The Half Moon No.1 - WiFi+MRT(near Chatuchak),Bang Sue,13.82005,100.5323,Entire home/apt,1500,30,130,2.38,2,0,Long-Term
5306,Loft 1 BR for 5 ★ Siam/Pratunam ★ 3 mins to BTS,Ratchathewi,13.75306,100.53462,Entire home/apt,1219,2,165,3.03,4,26,Short-Term
5307,3 BR Loft House ★ Siam/Pratunam ★ 3 mins to BTS,Ratchathewi,13.75274,100.53275,Entire home/apt,3629,2,189,3.48,4,49,Short-Term
5318,Large studio 1BR Mid Town  Sukhumvit31 @Sif #01,Vadhana,13.73456,100.56627,Private room,1400,2,96,1.74,2,4,Short-Term
5319,Breezy Condo Next To St Food&Night Life: VII,Vadhana,13.74705,100.55887,Entire home/apt,1100,30,149,2.72,36,26,Long-Term
5321,Breezy 2BR Next to St Food&Night Life:4-5pax:VIII,Vadhana,13.74618,100.55898,Entire home/apt,1900,30,102,1.93,36,26,Long-Term
5331,HappyZleepy110-2_Nana BTS & Asoke MRT/500wifi,Vadhana,13.74757,100.55824,Entire home/apt,1551,1,111,2.02,33,17,Short-Term
5333,Star garden bkk（无边泳池花园房）,Din Daeng,13.78385,100.57303,Entire home/apt,3200,4,95,1.78,3,0,Short-Term
5348,Thonglor Mitrtown 5-min walk to Thonglor BTS,Vadhana,13.72505,100.58012,Entire home/apt,5629,2,118,2.17,2,19,Short-Term
5370,EntireRoom2ndFL/PlatinumMall/Check In14.00-21.00,Ratchathewi,13.75509,100.53871,Entire home/apt,1500,2,101,1.88,1,20,Short-Term
5387,"ENTIRE CONDOMINIUM, Free Wifi/Gym&Pool/Parking",Bang Kapi,13.76307,100.64182,Entire home/apt,590,1,96,1.77,4,15,Short-Term
5400,BankuTeaHouse/EntireFloor/1-4ppl/PrivateRm&2BathRm,Bang Rak,13.73372,100.52364,Private room,1350,2,100,1.91,1,15,Short-Term
5440,S2 Silom Large room 4-6 guests Full kitchen WIFI,Bang Rak,13.72543,100.52149,Entire home/apt,1558,1,95,1.77,8,4,Short-Term
5460,3 bed Apt close to Chidlom Station/Central Embassy,Parthum Wan,13.74093,100.54506,Entire home/apt,3644,2,87,1.97,5,32,Short-Term
5474,HappyZleepy41_Nana BTS&Asoke MRT/1000MBs Wifi/4PAX,Vadhana,13.74774,100.55727,Entire home/apt,1630,1,129,2.42,33,39,Short-Term
5515,Cozy Place- 2 mins walk Phayathai BTS/Airport Link,Ratchathewi,13.75603,100.53491,Entire home/apt,1571,2,140,2.63,4,22,Short-Term
5522,R1# 2BR with Patio close to MRT Sutthisan station,Huai Khwang,13.78969,100.57845,Entire home/apt,1490,2,114,2.26,2,18,Short-Term
5531,Family Friendly Condo with Baby amenities提供婴儿床,Huai Khwang,13.76044,100.56944,Entire home/apt,2381,28,111,2.11,21,0,Long-Term
5532,"Khan Phlu(ก้านพลู),200​ m.​ from  BTS TalatPhlu​",Thon buri,13.7119505,100.4766946,Entire home/apt,1200,1,107,2.16,1,39,Short-Term
5563,"#114 DOWNTOWN BKK LUX CONDO@CHITLOM,Platinum,BTS",Parthum Wan,13.7482,100.54364,Entire home/apt,1590,20,92,1.76,4,9,Short-Term
5591,Amazing View 2 (Luxurious) 2 bedrooms BTS Nana,Vadhana,13.74335,100.55767,Private room,3241,1,120,2.28,1,27,Short-Term
5594,NEW* Twin bed - 5 min to BTS,Ratchathewi,13.76171,100.53832,Entire home/apt,1140,1,185,3.5,4,69,Short-Term
5605,"Perfect2B2B @Thonglor, Swimming  Pool中文服务",Khlong Toei,13.71777,100.57622,Entire home/apt,1943,8,121,2.29,21,29,Short-Term
5609,1 min BKK train hub / Hualumpong / Entire House,Parthum Wan,13.73751,100.51826,Entire home/apt,2557,3,102,1.96,1,11,Short-Term
5640,ZZZ House near Don Mueang Airport - 10 mins walk,Don Mueang,13.92401,100.59835,Private room,650,1,78,1.79,3,28,Short-Term
5659,"Clean Cozy near Pratunam,Siam Paragon and Platinum",Ratchathewi,13.75331,100.53412,Entire home/apt,2714,10,91,1.73,4,10,Short-Term
5660,★ Boutique Studio +Easy Walk To Pier & BTS Taksin★,Sathon,13.71325,100.51529,Entire home/apt,856,2,93,1.81,7,19,Short-Term
5687,Cozy place 2 mins BTS/Airport Link Phayathai,Ratchathewi,13.75603,100.53491,Entire home/apt,1557,2,146,2.82,4,27,Short-Term
5741,SPACIOUS ROOM WALKWAY TO THONGLOR BTS IN CONDO!,Khlong Toei,13.72388,100.57681,Entire home/apt,951,1,95,1.83,4,1,Short-Term
5752,Luxury High-Fl Room with View & 3 min to Skytrain,Bang Rak,13.72125,100.51714,Entire home/apt,2357,2,83,1.69,3,0,Short-Term
5758,Breezy Apt2 @Heart of BKK/5min walk to BTS/4-10pax,Parthum Wan,13.74666,100.54881,Entire home/apt,4064,2,136,2.64,36,31,Short-Term
5759,New* King size bed room - 5-min to BTS,Ratchathewi,13.76222,100.54041,Entire home/apt,1140,1,406,7.83,4,325,Short-Term
5766,Bright & Cozy Micro Studio - 4E,Sathon,13.7129,100.51442,Entire home/apt,590,2,100,1.94,6,23,Short-Term
5779,Private room w/balcony & garden,Phaya Thai,13.77192,100.54051,Private room,715,1,97,1.92,5,0,Short-Term
5804,T smy house .Garrett Double Room,Phaya Thai,13.77386,100.54108,Private room,725,1,109,2.16,5,0,Short-Term
5823,Modern & Elegant 6 Beds Townhouse @ BTS ONNUT,Khlong Toei,13.7087,100.59613,Entire home/apt,5714,2,105,2.03,5,21,Short-Term
5869,the photography room,Khlong Toei,13.72927,100.56954,Entire home/apt,2119,15,91,1.77,9,15,Short-Term
5914,Go✢Lumpini Park ✢ MRT ✢ BKK fun @ Your Doorstep✢✢✢,Sathon,13.72083,100.54725,Entire home/apt,750,1,94,1.84,37,18,Short-Term
5947,Bright & Colorful 6 Beds Townhouse @ BTS ONNUT,Khlong Toei,13.70682,100.59413,Entire home/apt,5714,2,122,2.36,5,46,Short-Term
5955,♠♠Lumpini Park + MRT + BKK fun at Your Doorstep♠♠,Sathon,13.72084,100.54725,Entire home/apt,836,1,121,2.36,37,24,Short-Term
5965,Ratchathewi/ Siam Paragon/Price Reduced,Ratchathewi,13.75083,100.5387,Entire home/apt,1315,30,92,1.81,6,7,Long-Term
6003,Luxurious & Romantic in the Heart of BKK#L MRT/BTS,Vadhana,13.73733,100.56111,Entire home/apt,2966,1,102,2.01,8,24,Short-Term
6025,"HPZP_130_Luxury, 5 min to BTS Nana, 500/500 mbWifi",Vadhana,13.7434,100.55744,Entire home/apt,1801,2,114,2.27,33,7,Short-Term
6032,New in BKK- Entire place for BUDGET traveler,Ratchathewi,13.76076,100.53936,Entire home/apt,960,1,102,2.01,4,21,Short-Term
6053,"Close by MRT,JJ Market,Union Mall,7-11,DMK Airport",Chatu Chak,13.81,100.56593,Entire home/apt,2500,3,94,1.85,1,0,Short-Term
6079,CuteCocoon4—B&B in the Lively Heart of Bangkok,Khlong Toei,13.73474,100.56274,Entire home/apt,3117,1,152,2.99,5,55,Short-Term
6104,HOME175 at BTS/2BR/King bed/near ICONSIAM 中文,Khlong San,13.72232,100.497,Entire home/apt,1690,3,121,2.41,3,25,Short-Term
6126,CuteCocoon3-Asok BTS MRT 250m /Apt 2Bed 1Bath,Khlong Toei,13.73474,100.56274,Entire home/apt,2379,1,140,2.79,5,39,Short-Term
6259,3A/Quiet Comfortable Condo in BKK Center Asok Nana,Vadhana,13.74726,100.55933,Entire home/apt,1533,30,94,1.88,10,12,Long-Term
6279,YOLOBangkok Hotel lB&Bl BTS-MRT l L'amour est bleu,Vadhana,13.7449,100.55825,Hotel room,5089,1,87,1.75,13,1,Short-Term
6288,Breezy Condo Next To St Food&Night Life: V,Vadhana,13.74768,100.55816,Entire home/apt,1200,30,89,1.79,36,31,Long-Term
6318,Monthly#7F@CENTRAL +2 beds@BTS Asok&MRT SUKHUMVIT,Khlong Toei,13.73475,100.55733,Entire home/apt,3659,1,119,2.43,24,34,Short-Term
6352,Cozy 2BR Apt. 10 mins to MRT Sirikit -4th Fl,Khlong Toei,13.71889,100.56318,Entire home/apt,1919,1,88,1.8,7,26,Short-Term
6366,"cozy 1br,500m@BTS E5,Skytop pool/Gym@50F,NetFlix",Khlong Toei,13.728261947631836,100.5680160522461,Entire home/apt,1608,1,81,1.7,19,23,Short-Term
6416,CuteCocoon2-Asok BTS MRT 250m Studio 1Bath,Khlong Toei,13.73389,100.56231,Entire home/apt,2629,1,130,2.66,5,50,Short-Term
6423,702★Nara Suite Residence★2KingBed+Kitchen★会说中文,Yan na wa,13.7008,100.53488,Entire home/apt,1690,1,123,2.65,25,6,Short-Term
6532,Neo-Vintage 3 BR House★Siam/Pratunam★2 mins to BTS,Ratchathewi,13.75622,100.53227,Entire home/apt,3666,2,152,3.12,4,59,Short-Term
6567,3BR Family/Netflix/POOL/Kitchen/Metro Train/Wifi,Huai Khwang,13.76042,100.56902,Entire home/apt,1910,20,89,1.9,1,6,Short-Term
6568,"☆3 Bedrooms Penthouse, big living ☆ Muji inspired",Vadhana,13.73445,100.56805,Hotel room,8283,1,131,2.67,5,33,Short-Term
6570,DUPLEX LOFT UPTO 4 | WALK PLATINUM MALL |,Ratchathewi,13.75048,100.53799,Private room,3301,1,87,1.78,9,26,Short-Term
6581,"Hot Deal 5BR Entire Villa 7Bath BTS/MRT, JJ MARKET",Chatu Chak,13.8016,100.55495,Entire home/apt,7250,1,108,2.34,3,29,Short-Term
6582,"202 ✪ 3mins to BTS, Near DMK, JJ Market, 7-11",Chatu Chak,13.82563,100.56532,Entire home/apt,542,1,93,1.94,9,25,Short-Term
6586,FREE PICK UP⭐BKK AIRPORT/BREAKFAST/PRIVATE DELUXE,Lat Krabang,13.72132,100.76495,Private room,1032,1,807,16.62,3,146,Short-Term
6598,New!Near The Grand Palace/ASOK Station/Bankok,Khlong Toei,13.73445,100.55921,Entire home/apt,2057,1,90,1.86,99,18,Short-Term
6620,PLATINUM MALL| LARGE FAMILY ROOM| WALK TO PRATUNAM,Ratchathewi,13.75044,100.53801,Private room,2809,1,89,1.82,9,41,Short-Term
6623,2 BEDROOMS DUPLEX LOFT | WALK PLATINUM MALL,Ratchathewi,13.75049,100.53799,Private room,2349,1,103,2.1,9,33,Short-Term
6624,Lovely Resort-like Condo in Central Bangkok中文服务,Huai Khwang,13.76044,100.56944,Entire home/apt,2239,3,119,2.45,21,18,Short-Term
6625,Family Friendly Condo with Baby amenities提供婴儿床,Huai Khwang,13.76044,100.56944,Entire home/apt,2310,3,105,2.17,21,13,Short-Term
6645,"5-Stars New&Luxury, Pano Riverview, 5 mins to BTS",Bang Rak,13.72252,100.51562,Entire home/apt,3881,2,96,2.03,1,42,Short-Term
6662,"新旅馆市中心 New Room Center of Bangkok, Upper Floor",Ratchathewi,13.7501,100.54565,Hotel room,1183,1,122,2.54,5,18,Short-Term
6672,Near The Grand Palace/ASOK Station/Sukhumvit#06,Khlong Toei,13.73395,100.5588,Entire home/apt,2057,1,101,2.1,228,20,Short-Term
6682,❤20% OFF Bangkok Executive Choice Free WiFi nr BTS,Khlong Toei,13.71497,100.59156,Entire home/apt,1489,28,99,2.04,36,10,Long-Term
6725,Spacious Renovated Luxury 3BR/6pax Soi 11 BTS NANA,Vadhana,13.74419,100.55703,Entire home/apt,6571,1,92,1.95,8,25,Short-Term
6756,Quiet  Security Gated Leafy Bangkok village,Don Mueang,13.91174,100.58176,Private room,550,1,94,1.96,1,0,Short-Term
6797,Free Pick up&drop off @Amari Hotel connected DMK,Don Mueang,13.9266,100.58586,Private room,1498,1,85,1.8,4,0,Short-Term
6836,"Large Renovated Suite 3BDR/6 Per, Nightlife Soi 11",Vadhana,13.74416,100.55685,Entire home/apt,7214,1,102,2.18,8,39,Short-Term
6849,Quiet place next to BTS train and Airport train,Ratchathewi,13.75603,100.53491,Entire home/apt,1600,2,83,1.76,4,15,Short-Term
6854,Y2 · Private Minimalist-Style Room in Old Town,Pom Prap Sattru Phai,13.75111,100.51035,Private room,950,2,111,2.35,5,35,Short-Term
6855,Y4 · Private Minimalist-Style Room in Old Town,Pom Prap Sattru Phai,13.75111,100.51035,Private room,951,2,110,2.32,5,23,Short-Term
6867,Ben's Tavern,Bang Rak,13.72284,100.51641,Private room,558,2,108,2.29,4,29,Short-Term
6878,One Plus Bedroom/2 King Beds/BTS Asok,Khlong Toei,13.73537,100.55789,Entire home/apt,1200,1,149,3.17,21,41,Short-Term
6879,Pretty Resort-like Condo in Central Bangkok,Huai Khwang,13.76044,100.56944,Entire home/apt,2239,3,81,1.71,21,7,Short-Term
6894,❤️Long Stay Discount Fast WiFi Kitchen Night Market,Vadhana,13.71414,100.59408,Entire home/apt,1192,28,96,2.02,36,15,Long-Term
6924,Enjoy BKK Sunset @30Fl ❤︎2BR Condo w/ AMZ Riverview,Bang Kho laen,13.6942,100.49302,Entire home/apt,2942,2,87,1.89,1,29,Short-Term
6928,1/ Luxury living sky pool 5mins walk BTS Asok Nana,Khlong Toei,13.73454,100.55691,Entire home/apt,2047,2,162,3.44,9,61,Short-Term
6933,2/ Luxury living sky pool 5mins walk BTS Asok Nana,Khlong Toei,13.73574,100.55875,Entire home/apt,1985,2,153,3.28,9,49,Short-Term
6956,Canal Side with Authentic Thai food Next Door,Bangkok Yai,13.74552,100.48419,Entire home/apt,1421,1,143,3.25,1,55,Short-Term
6987,"Instagrams style 2 Bedroom,  Asoke , Central world",Ratchathewi,13.75031,100.55457,Entire home/apt,2089,30,103,2.19,20,2,Long-Term
7009,New! Sukhumvit NANA 1BR Suit near BTS 2PPL,Ratchathewi,13.75087,100.55597,Entire home/apt,1466,3,86,1.87,228,14,Short-Term
7025,"Condo 19th floor, great views, swimming pool",Din Daeng,13.76904,100.56908,Entire home/apt,800,3,2,1.87,1,2,Short-Term
7027,FREE PICK UP⭐BKK AIRPORT/BREAKFAST/PRIVATE BUNK,Lat Krabang,13.72198,100.76569,Hotel room,978,1,81,1.75,3,8,Short-Term
7031,Comfortable Room Close to SIAM  ( walk to BTS),Parthum Wan,13.74418,100.53364,Entire home/apt,1900,1,80,1.75,3,3,Short-Term
7051,"Luxury 2 Bedrooms,Bts Phrom Phong, Sukhumvit",Khlong Toei,13.72549,100.5656,Entire home/apt,3900,2,97,2.08,19,34,Short-Term
7053,"Larger room 40 Sqm,Sukhumvit , BTS Phrom Phong",Khlong Toei,13.7255,100.56559,Entire home/apt,2100,2,90,1.94,19,30,Short-Term
7146,"Central World, Siam & Platinum + Sky Pool",Ratchathewi,13.75241,100.53749,Entire home/apt,2100,30,82,1.78,9,22,Long-Term
7157,❤️EmQuartier-Terminal21-Siam❤️SkyTrain❤️CityCenter,Vadhana,13.73218,100.57618,Entire home/apt,9338,1,91,1.94,6,25,Short-Term
7160,"Pink Dream Brand New 2Bdrm, Near to Nana and Asoke",Ratchathewi,13.74869,100.55655,Entire home/apt,2736,28,84,1.81,20,0,Long-Term
7165,Hidden Gem Midnight 1 Bedroom Near (BTS),Khlong Toei,13.72421,100.56753,Entire home/apt,1580,2,84,1.8,13,22,Short-Term
7185,"Rooftop Infinity Sky Pool , Nerr to Central World",Ratchathewi,13.75007,100.54311,Entire home/apt,2445,28,85,1.84,20,2,Long-Term
7188,246 House KingBR Walk to Grand Palace & Wat Pho,Phra Nakhon,13.74853,100.49624,Private room,914,1,78,1.77,4,21,Short-Term
7216,2BR-CHILL OUT LOFT-Phra Khanong BTS-漂亮的房子,Vadhana,13.72093,100.6049,Entire home/apt,1675,1,122,2.7,11,36,Short-Term
7244,30days!  Sukhumvit NANA spacious 1BR 2PPL near BTS,Ratchathewi,13.74971,100.55657,Entire home/apt,1466,3,81,1.78,228,7,Short-Term
7258,ßrand New Loft: MRT Rama 9 / Makkasan Airport Link,Huai Khwang,13.75303,100.56501,Entire home/apt,1600,10,82,1.8,5,9,Short-Term
7309,Near Khaosan & Grand Palace,Phra Nakhon,13.76242,100.50009,Entire home/apt,6500,1,106,2.35,2,0,Short-Term
7328,City Center Designer 1 Bdrm,Ratchathewi,13.74902,100.55495,Hotel room,1000,28,82,1.81,20,4,Long-Term
7343,U2: Urbitia/1BR/Downtown/BTS ThongLor/PoolGym/Wifi,Khlong Toei,13.72349,100.57645,Entire home/apt,1519,2,19,2.22,7,19,Short-Term
7355,1BR-COOL & CLEAN-Phrakhanong BTS-漂亮的房子,Vadhana,13.72275,100.60284,Entire home/apt,574,1,130,2.89,11,29,Short-Term
7393,"Designer Condo, 城市中心无敌景观，临近各大商圈，四面佛Central World",Ratchathewi,13.75119,100.55484,Entire home/apt,1114,30,77,1.69,20,5,Long-Term
7400,Special price! Cosy room walk to BTS Nana,Khlong Toei,13.73907,100.55403,Entire home/apt,1150,1,77,1.71,7,17,Short-Term
7405,FOR BREATH 城市地标景观两居公寓 无边泳池 设计师公寓 近市中心ASOKE NANA四面佛,Ratchathewi,13.75027,100.55457,Entire home/apt,1200,30,86,1.89,20,2,Long-Term
7428,"Private Modern Apartment in Sathorn, Center of BKK",Sathon,13.71696,100.52969,Entire home/apt,700,1,103,2.28,1,34,Short-Term
7478,Weekly・2BR@Asok&Sukhumvit#Terminal 21&Nana#Max6,Khlong Toei,13.73562,100.55825,Entire home/apt,4493,1,84,1.87,24,24,Short-Term
7481,Entire Big Townhouse Close to Silom/Siam/Sukhumvit,Sathon,13.7209,100.54652,Entire home/apt,2200,1,75,1.69,37,11,Short-Term
7502,*Central Rama2/3BR Lux Cozy Home/8 Sleep/Parking*,Bang Khun thain,13.66928,100.44555,Entire home/apt,2057,1,80,1.78,1,29,Short-Term
7523,New!Near The Grand Palace/ASOK Station/4PPL,Khlong Toei,13.73457,100.55698,Entire home/apt,3086,1,82,1.84,228,34,Short-Term
7614,CS01 : Bangkok 1BR / Pool&GYM/Sukhumvit 12/BTS/MRT,Khlong Toei,13.73405,100.55826,Entire home/apt,1647,2,4,2.11,1,4,Short-Term
7623,Family 2 bedroom apartment -5 minutes walk to BTS,Phaya Thai,13.7736,100.54079,Entire home/apt,3214,3,157,3.54,4,124,Short-Term
7624,"41. MRT/BTS Asoke 1-min walk, Terminal 21, WIFI",Vadhana,13.73954,100.56263,Entire home/apt,4156,1,95,2.12,34,45,Short-Term
7626,"44. MRT/BTS Asoke 1-min walk, Terminal 21, WIFI",Vadhana,13.73995,100.56224,Entire home/apt,4156,1,75,1.68,34,30,Short-Term
7627,"43. MRT/BTS Asoke 1-min walk, Terminal 21, WIFI",Vadhana,13.73807,100.56227,Entire home/apt,1846,1,112,2.51,34,42,Short-Term
7629,"45. MRT/BTS Asoke 1-min walk, Terminal 21, WIFI",Vadhana,13.73995,100.56244,Entire home/apt,1872,1,87,1.98,34,37,Short-Term
7656,5/ Luxury living sky pool 5mins walk BTS Asok Nana,Khlong Toei,13.7356,100.55704,Entire home/apt,1919,2,95,2.14,9,38,Short-Term
7658,4/ Luxury living sky pool 5mins walk BTS Asok Nana,Khlong Toei,13.73639,100.55696,Entire home/apt,1855,2,110,2.48,9,49,Short-Term
7659,3/ Luxury living sky pool 5mins walk BTS Asok Nana,Khlong Toei,13.73487,100.55696,Entire home/apt,2018,2,115,2.59,9,51,Short-Term
7715,APT476 | 2nd Fl. | 2 BDR | 1min walk to Subway,Parthum Wan,13.7384,100.51786,Entire home/apt,4101,1,128,3.24,14,38,Short-Term
7736,6/ Luxury living sky pool 5mins walk BTS Asok Nana,Khlong Toei,13.73597,100.5591,Entire home/apt,1812,2,124,2.79,9,52,Short-Term
7746,30days!  Sukhumvit NANA spacious 1BR 2PPL near BTS,Ratchathewi,13.75093,100.55622,Entire home/apt,1466,3,106,2.39,228,22,Short-Term
7788,Cozy room/ASOK/5mins to BTS MRT/ nana /Korea town,Khlong Toei,13.73537,100.55778,Entire home/apt,2814,1,74,1.68,12,29,Short-Term
7792,2BR-SNOOZE BOX-Stay 4-Phrakhanong BTS-WiFi-漂亮的房子,Vadhana,13.72298,100.60479,Entire home/apt,950,1,75,1.7,11,0,Short-Term
7846,Big family room near Grand Palace,Phra Nakhon,13.74773,100.49822,Entire home/apt,971,1,74,1.75,2,39,Short-Term
7925,2BR-SUNSET PENTHOUSE-Phrakhanong BTS-漂亮的房子,Vadhana,13.72303,100.60321,Entire home/apt,2366,1,163,3.75,11,47,Short-Term
7946,7/ Luxury living sky pool 5mins walk BTS Asok Nana,Khlong Toei,13.73445,100.55858,Entire home/apt,1976,2,92,2.13,9,37,Short-Term
7956,N.97 | 32 SQM studio suite next to Novotel Hotel,Khlong Toei,13.73963,100.55338,Entire home/apt,1157,1,84,2.05,3,39,Short-Term
7967,Splendid Modern spacious gem in CBD Ploenchit,Parthum Wan,13.74466,100.5494,Entire home/apt,3517,2,86,2.0,6,32,Short-Term
7978,Newly Renovated & Peaceful Studio near BTS Ari,Phaya Thai,13.78265,100.54829,Entire home/apt,1546,1,92,2.19,11,52,Short-Term
8007,New Modern 1 Bedroom near MRT RAMA 9,Din Daeng,13.755749,100.563263,Entire home/apt,1490,1,113,2.64,6,75,Short-Term
8045,F5 曼谷市中心豪华两室一厅公寓/ASOK/ terminal 21 /素坤逸地铁站/无边泳池,Khlong Toei,13.73649,100.55711,Entire home/apt,4054,1,115,2.64,21,41,Short-Term
8136,Luxury 1BR/Center BKK+CBD/BTS PhromPhong,Khlong Toei,13.72644,100.56607,Entire home/apt,1466,1,156,3.62,12,71,Short-Term
8140,Cosy apartment close to Airport Link Station,Suanluang,13.7457,100.60339,Entire home/apt,876,1,122,2.99,2,47,Short-Term
8157,通罗一居室/伊卡迈街区·NANA·个性化房间·游泳池·免费停车·中文接待·曼谷中心城区,Khlong Toei,13.71707,100.57723,Entire home/apt,1443,3,139,3.26,44,2,Short-Term
8204,2BR-SKYLINE GALLERY-Phrakhanong BTS-漂亮的房子-WiFi,Vadhana,13.72122,100.60329,Entire home/apt,2186,1,120,2.8,11,26,Short-Term
8205,"DOUBLE AIRPORT 10MIN, NICE VIEW ROOFTOP",Lat Krabang,13.71943,100.75399,Hotel room,650,113,94,2.22,4,0,Long-Term
