,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,number_of_reviews_ltm,minimum_stay
525,J. No 14 Amazing Antique B&B_8,Khlong San,13.72236,100.50368,Private room,1500,1,311,3.23,9,2,Short-Term
541,#302: Private balcony room on 3rd fl. (with cats!),Phaya Thai,13.77487,100.54654,Private room,1401,1,204,2.12,5,4,Short-Term
550,Cozy near  Suvarnabhumi  Airport,Pra Wet,13.69472,100.64451,Entire home/apt,1039,1,190,2.07,1,12,Short-Term
561,2 Family Friendly Holiday Homes in Bangkok Center,Sathon,13.71247,100.52265,Entire home/apt,6788,1,166,1.79,2,14,Short-Term
565,"❤City Center Studio, Easy Walk To Pier+BTS Taksin❤",Sathon,13.71228,100.51328,Entire home/apt,827,2,295,2.96,7,13,Short-Term
566,#301: Private Balcony Room on 3rd fl (with cats!),Phaya Thai,13.7747,100.54671,Private room,1490,1,192,1.97,5,11,Short-Term
576,"Charming 2BR/2BA, 5mins walk to BTS",Khlong Toei,13.70939,100.59791,Entire home/apt,1529,21,171,1.76,1,6,Short-Term
616,J. No 14 Amazing Antique B&B_5,Khlong San,13.72244,100.50241,Private room,1500,1,277,2.84,9,0,Short-Term
617,J. No 14 Amazing Antique B&B_6,Khlong San,13.72228,100.50403,Private room,1500,1,184,1.89,9,1,Short-Term
622,The Mustang Nero/No.3 The Wolf,Khlong Toei,13.71286,100.59172,Hotel room,2329,1,477,5.11,10,6,Short-Term
623,The Mustang Nero/No.2 Black Bird,Khlong Toei,13.71136,100.59217,Hotel room,2000,1,426,4.65,10,0,Short-Term
625,The Mustang Nero/No.1 Magic Dragon,Khlong Toei,13.71174,100.5938,Hotel room,2286,1,393,4.29,10,2,Short-Term
689,Luxury In The Heart of Sukhumvit Next to MRT & BTS,Vadhana,13.73906,100.55939,Entire home/apt,1888,30,232,2.49,3,2,Long-Term
694,❂Train station☼City center☼Private Bathroom5Aircon,Sathon,13.72062,100.54707,Entire home/apt,1200,1,276,2.92,37,0,Short-Term
719,Charming 2 BDR near Emporium w view,Khlong Toei,13.72585,100.57189,Entire home/apt,2400,3,172,1.86,3,10,Short-Term
727,House no 182 : 4BR Quiet&Cozy 10 Min MRT Lad Prao,Chatu Chak,13.8111,100.57616,Entire home/apt,2600,1,157,1.92,2,1,Short-Term
737,Lazy @ Heart of Bangkok,Bang Rak,13.72249,100.5285,Entire home/apt,957,30,246,2.89,1,25,Long-Term
795,FloralShire Suvarnabhumi Airport,Lat Krabang,13.71691,100.76588,Private room,560,1,38,6.16,1,38,Short-Term
796,☑Generous space Green and Quiet Heart of Bangkok,Sathon,13.72075,100.54692,Entire home/apt,1200,1,246,2.62,8,11,Short-Term
799,"★ Great Studio, Easy Walk To Pier & BTS Taksin ★",Sathon,13.71414,100.515,Entire home/apt,866,2,202,2.2,7,12,Short-Term
800,Garden Room Thai2 Suvarnabhumi,Lat Krabang,13.72218,100.72518,Entire home/apt,867,1,206,2.6,4,14,Short-Term
813,"2BR BTS,MRT  270°views 70m² @ASOK",Vadhana,13.74636,100.56241,Entire home/apt,1662,20,166,1.93,2,1,Short-Term
824,Teakwood red @ Steamy Location,Sathon,13.72062,100.54707,Entire home/apt,1086,1,253,2.95,37,2,Short-Term
827,Nature Vibes Studio 10 mins to Don Mueang Airport,Lak Si,13.87081,100.57824,Private room,750,1,163,2.49,9,4,Short-Term
839,❂Citycenter☀Subway station☀Private Bathroom9Aircon,Sathon,13.72071,100.54712,Entire home/apt,1200,1,218,2.55,37,2,Short-Term
840,❂Explore Bangkok Perfect Central Spot MRT Lumpini7,Sathon,13.72067,100.54714,Entire home/apt,1343,1,325,3.63,37,1,Short-Term
847,Upmarket Loft Apartment in the Lively Heart of Bangkok,Khlong Toei,13.73502,100.56252,Entire home/apt,4056,1,323,3.75,5,42,Short-Term
850,Bangkok's Stunning Riverside view,Bang Kho laen,13.70153,100.50298,Entire home/apt,1780,90,162,2.1,1,1,Long-Term
870,"Kisaoo, vintage room near Khaosan 2",Phra Nakhon,13.76355,100.50329,Private room,1004,2,175,1.92,2,0,Short-Term
886,"HappyZleepy28_2mins to Nana BTS,WiFi speed 500 MBs",Vadhana,13.74287,100.55515,Entire home/apt,1369,1,223,3.19,33,40,Short-Term
900,"Amazing Views! 1 BR,next to BTS Ekkamai~Wi-fi",Vadhana,13.72932,100.57731,Entire home/apt,1211,1,196,2.13,3,21,Short-Term
905,The Mustang Nero/No.4 The Horse,Khlong Toei,13.71143,100.5939,Hotel room,2329,1,486,5.26,10,6,Short-Term
918,#401: Private Balcony Room on 4th fl (with cats!),Phaya Thai,13.77474,100.54434,Private room,2166,1,169,1.87,5,30,Short-Term
966,Poolside private 1 bedroom condo,Suanluang,13.71252,100.63477,Entire home/apt,699,30,196,2.37,2,0,Long-Term
997,"2BR penthouse, on MRT, Crazy view",Din Daeng,13.77858,100.57303,Entire home/apt,4000,2,241,2.68,1,31,Short-Term
1010,LOFT by the temple in BKK city-wifi,Bang Kho laen,13.70227,100.52305,Entire home/apt,888,180,157,1.73,41,0,Long-Term
1038,***** Five stars river view studio,Khlong San,13.7131,100.50122,Entire home/apt,664,21,252,2.79,1,4,Short-Term
1050,Five Bedrooms Ensuite Bangkok Downtown Duplex/LOFT,Vadhana,13.74679,100.55888,Entire home/apt,14331,2,216,2.92,15,39,Short-Term
1058,"6people,BTS Frontdoor,Siam,Platinum",Ratchathewi,13.75062,100.5315,Entire home/apt,1643,7,270,3.13,39,12,Short-Term
1073,"1Min walk BTS Thong Lo,Sukhumvit34",Khlong Toei,13.72483,100.57525,Entire home/apt,1457,30,200,2.32,39,0,Long-Term
1077,"Executive Accommodation Pool Gym WiFI, Near BTS",Vadhana,13.71526,100.59396,Entire home/apt,1250,14,383,4.27,36,10,Short-Term
1078,"*New* Eden Park Bangkok near SkyTrain, Wi-Fi, Pool",Khlong Toei,13.71197,100.59503,Entire home/apt,1100,28,206,2.37,36,5,Long-Term
1097,Charming 1BDR near BTS and Emporium,Khlong Toei,13.72572,100.57418,Entire home/apt,1697,3,154,1.75,3,9,Short-Term
1119,Air3nity  Downtown World Class Bangkok,Bang Rak,13.72438,100.53159,Entire home/apt,3785,1,234,3.31,6,38,Short-Term
1121,Bangkok Silom Private Gathering Place # Air3nity,Bang Rak,13.7253,100.5295,Entire home/apt,4734,1,239,3.28,6,15,Short-Term
1132,CBD 175sqm SUITE Amazing Location + Facilities,Bang Rak,13.7248,100.53024,Entire home/apt,3983,1,250,2.88,12,15,Short-Term
1155,3Tropical Villa/Center/Dbl: Super Close MRTLumpini,Sathon,13.72328,100.54539,Private room,1029,1,152,1.73,5,6,Short-Term
