,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,number_of_reviews_ltm,minimum_stay,popularity
11753,Monthly! 8F! CENTRAL#2 beds@BTS Asok&MRT SUKHUMVIT,Khlong Toei,13.73561,100.55882,Entire home/apt,3563,1,23,1.7,24,21,Short-Term,popular
11754,1 min-BTS★Modern 1BR w/Aqua Cycling & Outdoor Pool,Khlong San,13.72082,100.4986,Entire home/apt,1799,45,6,0.42,2,4,Long-Term,not_popular
11755,วริษาเพลส อพาร์ทเม้นท์,Lak Si,13.8709,100.55532,Private room,480,1,0,0.0,5,0,Short-Term,not_popular
11756,"New! Artisan Rachada, Huai Khang 1BR 33sq/wifi/gym",Huai Khwang,13.76809,100.58184,Entire home/apt,2314,1,3,0.17,228,1,Short-Term,not_popular
11757,RAMADA PLAZA RESIDENCE BY WYNDHAM,Khlong Toei,13.70839,100.59807,Private room,824,30,0,0.0,2,0,Long-Term,not_popular
11758,Ramada Plaza By Wyndham Residence,Khlong Toei,13.71266,100.59419,Private room,1545,30,0,0.0,2,0,Long-Term,not_popular
11759,3 bedroom 150sqm. private space @BTS near iconsiam,Khlong San,13.71953,100.49648,Entire home/apt,3152,3,9,1.22,1,9,Short-Term,not_popular
11760,Condo bangkok- sathon/bangruk,Sathon,13.71342,100.51552,Private room,1000,3,0,0.0,1,0,Short-Term,not_popular
11761,Budget Apt Near Nana and Asoke Skytrain Station,Vadhana,13.74095,100.55755,Entire home/apt,866,7,10,0.57,13,7,Short-Term,not_popular
11762,2BR！New! Near The Grand Palace/ASOK Station/4PPL,Khlong Toei,13.73529,100.55877,Entire home/apt,7214,1,23,1.22,228,20,Short-Term,not_popular
11763,New room at Blossom Sathon near BTS Surasak900 m.,Sathon,13.70621,100.519,Private room,866,1,3,0.44,1,3,Short-Term,not_popular
11764,1BR! !Near The Grand Palace/ASOK Station/Sukhumvit,Khlong Toei,13.73515,100.5589,Entire home/apt,2500,1,27,1.93,99,24,Short-Term,popular
11765,บ้านริมพระยา,Dusit,13.77675,100.50348,Entire home/apt,6000,1,0,0.0,1,0,Short-Term,not_popular
11766,Retro-Minimal Cosy Apartment,Phra Khanong,13.69892,100.614,Entire home/apt,563,30,1,0.51,1,1,Long-Term,not_popular
11767,Bangkok KhlongTan 001｜10min PhromPhong BTS,Khlong Toei,13.72399,100.56767,Entire home/apt,1280,3,14,0.83,7,13,Short-Term,not_popular
11768,Bangkok KhlongTan 003｜ CozyApt｜near Emporium mall,Khlong Toei,13.72442,100.56814,Entire home/apt,1280,3,12,0.65,7,9,Short-Term,not_popular
11769,Private Studio Appartment By the River (2nd Floor),Bang Phlat,13.78017,100.50011,Entire home/apt,1200,2,19,3.45,3,19,Short-Term,popular
11770,THE GOLDEN SKY SUITE 1 BR : WIFI/HIGH FLOOR,Huai Khwang,13.75553,100.57499,Entire home/apt,1343,2,13,0.69,44,12,Short-Term,not_popular
11771,คอนโดน่าอยู่เนื้อที่กว้างขวาง พร้อมที่จอดรถฟรี,Chatu Chak,13.828089714050291,100.56160736083984,Private room,500,1,0,0.0,1,0,Short-Term,not_popular
11772,บ้านยาย,Thung khru,13.63299,100.50541,Private room,563,1,0,0.0,2,0,Short-Term,not_popular
11773,COZY 1 BR APT NEAR BTS EKKAMAI,Vadhana,13.7297,100.58728,Entire home/apt,1100,5,11,0.82,9,9,Short-Term,not_popular
