,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,number_of_reviews_ltm,minimum_stay,popularity
0,Nice room with superb city view,Ratchathewi,13.75983,100.54134,Entire home/apt,1905,3,65,0.5,2,0,Short-Term,not_popular
1,"Easy going landlord,easy place",Bang Na,13.66818,100.61674,Private room,1316,1,0,0.0,2,0,Short-Term,not_popular
2,modern-style apartment in Bangkok,Bang Kapi,13.75232,100.62402,Private room,800,60,0,0.0,1,0,Long-Term,not_popular
3,Spacious one bedroom at The Kris Condo Bldg. 3,Din Daeng,13.78823,100.57256,Private room,1286,7,2,0.03,1,1,Short-Term,not_popular
4,Suite Room 3 at MetroPoint,Bang Kapi,13.76872,100.63338,Private room,1905,1,0,0.0,3,0,Short-Term,not_popular
5,NEw Pro!!  Bungalow Bkk Centre,Bang Kho laen,13.69757,100.5288,Entire home/apt,1000,250,19,0.17,41,0,Long-Term,not_popular
6,Condo with Chaopraya River View,Rat Burana,13.68556,100.49535,Private room,1558,3,1,0.01,1,0,Short-Term,not_popular
7,1 chic bedroom apartment in BKK,Chatu Chak,13.82925,100.56737,Entire home/apt,1461,1,0,0.0,1,0,Short-Term,not_popular
8,"Batcave, Pool view, near Chatuchak",Chatu Chak,13.81693,100.56433,Entire home/apt,1558,3,10,0.09,1,0,Short-Term,not_popular
9,Standard Room Decor do Hostel,Khlong San,13.7204,100.50757,Private room,700,2,4,0.03,10,0,Short-Term,not_popular
10,Sathorn Terrace Apartment(61),Bang Rak,13.71934,100.5176,Private room,1150,2,27,0.19,7,0,Short-Term,not_popular
11,2BR apt in a cozy neighborhood,Phaya Thai,13.77486,100.54272,Entire home/apt,1893,15,129,1.17,1,1,Short-Term,not_popular
12,Comfy bedroom near River pier & BTS  Taksin.,Sathon,13.71802,100.51539,Hotel room,1862,2,208,1.44,7,0,Short-Term,not_popular
13,budget hotel bangkok near subway,Din Daeng,13.77941,100.57383,Entire home/apt,910,2,3,0.02,2,0,Short-Term,not_popular
14,"Deluxe Condo, Nana, Pool/GYM/Sauna",Khlong Toei,13.71516,100.56806,Entire home/apt,1400,30,0,0.0,1,0,Long-Term,not_popular
15,Luxury@swimpool/FreeWiFi/nearJJMkt,Phaya Thai,13.79152,100.53982,Private room,4156,1,0,0.0,1,0,Short-Term,not_popular
16,Nice and Quiet condo near BTS Onnut,Khlong Toei,13.70719,100.59936,Entire home/apt,1577,30,78,0.78,1,0,Long-Term,not_popular
17,"24Flr- 1br Apt near JJ, MRT, BTS",Chatu Chak,13.82298,100.56484,Entire home/apt,122594,2,9,0.09,6,0,Short-Term,not_popular
18,Central Bangkok 3 Bedroom Apartment,Khlong Toei,13.73378,100.56303,Entire home/apt,5680,28,148,1.08,1,0,Long-Term,not_popular
19,The Duplex - Asoke- Luxury 92sqm,Vadhana,13.74668,100.56137,Entire home/apt,5034,21,287,2.59,1,3,Short-Term,popular
20,"New, Stylish & Luxury Studio Condo",Sai Mai,13.9077,100.64473,Private room,1500,1,0,0.0,1,0,Short-Term,not_popular
21,River View - Ivy Condo (1 Bedroom),Rat Burana,13.68568,100.49231,Private room,1385,30,0,0.0,1,0,Long-Term,not_popular
22,Siamese Gioia on Sukhumvit 31,Vadhana,13.74444,100.57003,Private room,3775,30,3,0.05,1,0,Long-Term,not_popular
23,Contemporary Modern Duplex-Thong Lo,Khlong Toei,13.72097,100.57823,Entire home/apt,2078,60,83,0.75,1,0,Long-Term,not_popular
24,Pan Dao Condo 5 min from BTS On Nut,Khlong Toei,13.70441,100.59968,Entire home/apt,1732,2,3,0.02,1,0,Short-Term,not_popular
25,1 BR condominium center BKK +NETFLIX+55SQM,Ratchathewi,13.75351,100.53308,Entire home/apt,2000,27,76,0.7,1,0,Short-Term,not_popular
26,1 penthouse in central Bangkok,Ratchathewi,13.7547,100.53268,Entire home/apt,3082,1,0,0.0,1,0,Short-Term,not_popular
27,"MetroPoint Suite Room, Near Airport",Bang Kapi,13.76747,100.63287,Private room,1190,1,0,0.0,3,0,Short-Term,not_popular
28,Boutique Rooms Near Bangkok Airport,Lat Krabang,13.721868,100.771713,Private room,1329,1,28,0.28,1,13,Short-Term,not_popular
29,BangLuang House1 @ Bangkok Thailand,Bangkok Yai,13.73292,100.46413,Private room,2078,1,76,0.64,3,0,Short-Term,not_popular
30,Studio near Chula University/Silom walk to MRT/BTS,Bang Rak,13.7285,100.52313,Entire home/apt,1176,7,63,0.47,2,2,Short-Term,not_popular
31,กรองทองแมนชั่น (ลาดพร้าว 81),Wang Thong Lang,13.78938,100.6134,Private room,600,1,0,0.0,1,0,Short-Term,not_popular
32,Deluxe one Bedroom Condo w.Pool-GYM & Sauna 8-7,Vadhana,13.74293,100.55603,Entire home/apt,1659,3,212,1.58,3,7,Short-Term,not_popular
33,Beautiful 1 BR apartment @BTS Ari,Phaya Thai,13.77931,100.54262,Entire home/apt,1400,15,90,0.77,4,2,Short-Term,not_popular
34,Urban Oasis in the heart of Bangkok,Sathon,13.72291,100.53759,Entire home/apt,5429,2,3,0.03,3,0,Short-Term,not_popular
35,1Bed apt. near Chula University/Silom,Bang Rak,13.72733,100.52555,Entire home/apt,1843,7,71,0.54,2,5,Short-Term,not_popular
36,Stay at the ROARING RATCHADA!,Huai Khwang,13.78118,100.58349,Private room,1316,1,0,0.0,1,0,Short-Term,not_popular
37,"60 m2 apartment in Thong Lor, Bangkok",Vadhana,13.73224,100.57803,Entire home/apt,1870,4,5,0.05,1,0,Short-Term,not_popular
38,ICONSIAM River view  on 49th floor,Bang Rak,13.72287,100.51678,Private room,2500,180,15,0.14,1,0,Long-Term,not_popular
39,2br apt in Sukhumvit Asoke near BTS,Vadhana,13.74464,100.55784,Entire home/apt,1732,90,0,0.0,1,0,Long-Term,not_popular
40,Self catering cozy1-bed near BTS,Vadhana,13.7137,100.59637,Entire home/apt,1300,30,7,0.06,1,0,Long-Term,not_popular
41,❂☀☀☀Perfect Escape☀☀☀Sunny Roof EnSuite☀☀☀☀,Sathon,13.72062,100.54707,Entire home/apt,1200,1,419,3.77,37,1,Short-Term,popular
42,Room with city view of BKK,Sathon,13.71803,100.54654,Private room,3500,3,0,0.0,3,0,Short-Term,not_popular
43,BangLuang House 2@ Bangkok Thailand,Phasi Charoen,13.73122,100.46228,Entire home/apt,1795,1,95,0.8,3,10,Short-Term,not_popular
44,Tranquility found in busy Bangkok near new skytran,Bang Sue,13.83148,100.52102,Entire home/apt,1000,3,21,0.17,7,0,Short-Term,not_popular
45,Private room in Bangkok,Chatu Chak,13.82148,100.58326,Private room,350,30,0,0.0,1,0,Long-Term,not_popular
46,☞✪✪✪✪Roomy Studio 4 Family r friends✪No Stairs✪✪✪✪,Sathon,13.72073,100.5469,Entire home/apt,1450,1,268,2.59,8,7,Short-Term,popular
47,☞Downtown Central Studio-Bangkok MRT,Sathon,13.72063,100.54694,Entire home/apt,1200,1,310,3.0,8,9,Short-Term,popular
48,Beautiful Wood Bangkok Resort House,Nong Chok,13.779,100.83671,Entire home/apt,8658,1,0,0.0,1,0,Short-Term,not_popular
49,"""Serviced 2 Bed Scenic SkyVillas""",Sathon,13.72096,100.52911,Entire home/apt,3757,2,118,1.07,7,12,Short-Term,not_popular
50,Cozy 1BR rooftop (BTS Ploenchit) heart of bangkok,Khlong Toei,13.73782,100.55179,Entire home/apt,1490,5,11,0.15,1,0,Short-Term,not_popular
51,Chic two bedroom for Monthly rental,Bang Rak,13.72687,100.52725,Entire home/apt,2701,30,104,0.89,1,0,Long-Term,not_popular
52,Sukhumvit52 near SkyTrain to BkkCBD,Phra Khanong,13.70169,100.5977,Private room,2251,3,0,0.0,1,0,Short-Term,not_popular
53,"♡Chic Studio, Easy Walk to Pier & BTS Taksin♡",Sathon,13.71192,100.51535,Entire home/apt,866,2,472,4.02,7,29,Short-Term,popular
54,One Bedroom Suite- WIFI- SATHORN,Sathon,13.71602,100.52663,Private room,2696,1,0,0.0,3,0,Short-Term,not_popular
55,STUDIO RM2 - WIFI- SATHORN,Sathon,13.71798,100.52841,Private room,1736,1,4,0.04,3,0,Short-Term,not_popular
56,Quiet Double  Bed Apartment,Thawi Watthana,13.79274,100.33377,Private room,1800,2,1,0.46,3,1,Short-Term,not_popular
57,Quiet Double Bed Apartment,Thawi Watthana,13.79315,100.33356,Private room,1800,2,0,0.0,3,0,Short-Term,not_popular
58,Suvarnabhumi free transfer,Lat Krabang,13.72141,100.72946,Entire home/apt,1558,1,43,0.39,2,0,Short-Term,not_popular
59,Luxury&Comfy wthWifi walk-distance to Subwy-Malls,Chatu Chak,13.80926,100.56892,Entire home/apt,900,358,56,0.43,1,0,Long-Term,not_popular
60,"Apr. for rent full fur 1 bedroom, monthly",Bang Na,13.67805,100.62451,Private room,400,180,0,0.0,1,0,Long-Term,not_popular
61,Long-stay special rate spacious entire floor Siam,Parthum Wan,13.74814,100.52016,Entire home/apt,2900,1125,295,2.61,3,0,Long-Term,popular
62,One Bed Room at Sukumvit 50 Bangkok,Khlong Toei,13.71513,100.5683,Private room,2226,1,0,0.0,1,0,Short-Term,not_popular
63,"City View, relaxed theme & delicious food around",Bang Kho laen,13.69947,100.52726,Entire home/apt,890,2,29,0.27,6,4,Short-Term,not_popular
64,Ideo Blucove Sukhumvit Bangkok,Bang Na,13.67998,100.61074,Entire home/apt,1500,29,0,0.0,1,0,Long-Term,not_popular
65,2-BR condo near BTS on Sukhumvit Rd,Khlong Toei,13.7281,100.57318,Entire home/apt,1732,30,67,0.51,1,1,Long-Term,not_popular
66,"NewlyRenovated! 3Br,SingleHouse, Park/BTS/Airport.",Pra Wet,13.70004,100.6787,Entire home/apt,3394,5,3,0.03,8,2,Short-Term,not_popular
67,"IdeoMix, Sukhumvit RD, close to BTS",Bang Na,13.67991,100.61055,Entire home/apt,922,14,170,1.54,1,5,Short-Term,not_popular
68,Mix Dorm  Decor do Hostel,Khlong San,13.72214,100.50752,Shared room,350,1,12,0.12,10,0,Short-Term,not_popular
69,Oasis in the heart of Bangkok,Ratchathewi,13.74902,100.55652,Entire home/apt,866,90,94,0.75,1,1,Long-Term,not_popular
70,5 mins by car from Chong Nonsi BTS Station,Sathon,13.71498,100.53312,Private room,1543,1,40,0.46,4,10,Short-Term,not_popular
71,Inn Saladaeng - Superior hotel room,Bang Rak,13.72825,100.53774,Entire home/apt,1589,1,36,0.33,2,1,Short-Term,not_popular
72,"Best nr Chatujak, MRT, BTS free wifi&fNetflix",Chatu Chak,13.81694,100.56451,Entire home/apt,1271,1,293,2.72,1,19,Short-Term,popular
73,❂Citycenter✔Subway station✔Private Bathroom4Aircon,Sathon,13.72062,100.54707,Entire home/apt,800,1,396,3.02,37,0,Short-Term,popular
74,Nice River View Condominium 30 sq.m,Rat Burana,13.68426,100.49841,Private room,1558,1,0,0.0,1,0,Short-Term,not_popular
75,Monthly rent 2Beds/2Baths quiet APT at BTS,Khlong San,13.71905,100.50414,Entire home/apt,1747,30,80,0.62,1,0,Long-Term,not_popular
76,Sukhumvit apartment near Nana BTS,Khlong Toei,13.74052,100.55237,Entire home/apt,797,1,189,1.45,1,13,Short-Term,not_popular
77,A room w/ the view :-) in the city,Vadhana,13.71012,100.60281,Entire home/apt,6926,1,1,0.02,1,0,Short-Term,not_popular
78,Spacious 1Bed apartment,Huai Khwang,13.75224,100.58979,Entire home/apt,1169,15,0,0.0,1,0,Short-Term,not_popular
79,Near Bangkok more space than urban!,Phra Nakhon,13.75135,100.49447,Shared room,5195,1,0,0.0,1,0,Short-Term,not_popular
80,✺✺99 feet in the sky✺✺,Sathon,13.72062,100.54707,Entire home/apt,829,1,430,3.39,37,10,Short-Term,popular
81,Cozy Studio Apt near Skytrain.(72/74),Sathon,13.71782,100.51622,Private room,950,1,39,0.3,7,2,Short-Term,not_popular
82,"Asoke: tasteful, modern 1BR condo",Vadhana,13.73816,100.56495,Entire home/apt,1400,28,32,0.25,2,5,Long-Term,not_popular
83,"2 bed 2 bath, BTS, Supermarkets, Monthly",Vadhana,13.7104,100.60171,Entire home/apt,2355,30,19,0.17,1,0,Long-Term,not_popular
84,"Private, relaxed with amenities",Bang Kho laen,13.69949,100.52725,Entire home/apt,980,2,18,0.18,6,1,Short-Term,not_popular
85,S1 hostel (Dorm) Sathorn Bangkok,Sathon,13.72157,100.54509,Shared room,330,1,82,0.83,3,0,Short-Term,not_popular
86,3 minutes walk to Phrom Phong BTS,Vadhana,13.73675,100.57191,Entire home/apt,3740,7,18,0.15,1,1,Short-Term,not_popular
87,1 BDM CONDO SAPHAN KWAI/ARI walk to JJ/BTS/MRT,Phaya Thai,13.79128,100.54935,Entire home/apt,1000,5,29,0.27,1,4,Short-Term,not_popular
88,เฮ้าส์โหมด House Mode,Thon buri,13.72646255738608,100.49129336748284,Private room,800,1,0,0.0,1,0,Short-Term,not_popular
89,❂100% Private&Central Light EnSuite,Sathon,13.72062,100.54707,Entire home/apt,800,1,325,2.67,37,0,Short-Term,popular
90,Spacious Studio kitchen/wifi,Yan na wa,13.69673,100.53202,Entire home/apt,1143,200,35,0.27,41,0,Long-Term,not_popular
91,2. Bangkok bright Apartment 201,Bang Kho laen,13.69935,100.52723,Entire home/apt,700,365,40,0.31,41,0,Long-Term,not_popular
92,1.Bangkok great value Studio WIFI,Bang Kho laen,13.69977,100.52652,Entire home/apt,831,365,14,0.11,41,0,Long-Term,not_popular
93,BKK City Fab Luxx Studio free wifi @1194,Bang Kho laen,13.698,100.52886,Entire home/apt,790,1,127,1.0,41,5,Short-Term,not_popular
94,5. Bangkok Bright Apartment -WIFI,Bang Kho laen,13.70068,100.5228,Entire home/apt,720,365,26,0.23,41,0,Long-Term,not_popular
95,"6. Bangkok nice, cosy Apartment 201",Bang Kho laen,13.69925,100.52624,Entire home/apt,890,1,48,0.38,41,3,Short-Term,not_popular
96,7. Bangkok big bright Apartment 402,Bang Kho laen,13.70086,100.52276,Entire home/apt,1211,365,8,0.07,41,0,Long-Term,not_popular
97,STUDIO-WIFI-RAIN SHOWER-SATHORN,Sathon,13.71922,100.5255,Private room,1736,1,14,0.12,3,0,Short-Term,not_popular
98,Luxury Riverview Teakwood Apartment-Great Views :),Yan na wa,13.67317,100.54406,Hotel room,1558,2,120,0.93,1,0,Short-Term,not_popular
99,1 Bed Pool Access Onnut BTS,Suanluang,13.71119,100.63334,Entire home/apt,970,21,1,0.01,2,0,Short-Term,not_popular
100,River Side Luxury View,Yan na wa,13.70497,100.55134,Private room,2500,1,0,0.0,1,0,Short-Term,not_popular
101,BKK Center Fab studio1150 free wifi,Bang Kho laen,13.69832,100.52434,Entire home/apt,929,1,60,0.47,41,1,Short-Term,not_popular
102,Loft by the Church w kitchen/wifi near Sathon,Bang Kho laen,13.70218,100.52254,Entire home/apt,670,2,38,0.31,41,0,Short-Term,not_popular
103,9. Bangkok Mini Stylish Studio 205,Bang Kho laen,13.70039,100.52806,Entire home/apt,720,1,40,0.4,41,3,Short-Term,not_popular
104,"Beautiful Apt @ Ratchayothin BTS, Free Wifi",Chatu Chak,13.82841,100.57103,Entire home/apt,1004,2,24,0.19,2,0,Short-Term,not_popular
105,New and Modern Spacious Apartment,Phra Khanong,13.6937,100.59897,Entire home/apt,1385,3,0,0.0,1,0,Short-Term,not_popular
106,Hip Studio ♥ Of BKK+River+BTS+WIFI,Sathon,13.71278,100.5156,Entire home/apt,811,2,404,3.67,7,19,Short-Term,popular
107,Condo QUATTRO @Thonglor Near BTS,Vadhana,13.72873,100.58039,Entire home/apt,2000,7,6,0.05,3,1,Short-Term,not_popular
108,Big quiet Studio for weekly monthly long term Stay,Sathon,13.720317,100.54586,Private room,1629,4,4,0.7,7,4,Short-Term,not_popular
109,BH : Double Room - Near BTS,Sathon,13.71659,100.51588,Private room,835,1,0,0.0,7,0,Short-Term,not_popular
110,Suite with Balcony,Sathon,13.71655,100.51384,Private room,926,1,1,0.02,7,0,Short-Term,not_popular
111,Room + Shared Shower Room near BTS,Sathon,13.71496,100.51406,Private room,866,1,0,0.0,7,0,Short-Term,not_popular
112,BANGKOK HUB Studio Room+Shower Room,Sathon,13.718,100.51573,Private room,650,1,0,0.0,7,0,Short-Term,not_popular
113,BANGKOK HUB : Standard Double Room,Sathon,13.71662,100.51572,Shared room,866,1,2,0.03,7,0,Short-Term,not_popular
114,Great location on a charming loft,Bang Rak,13.72687,100.52326,Entire home/apt,5887,30,8,0.07,1,0,Long-Term,not_popular
115,phiyapa,Don Mueang,13.9277,100.58757,Private room,1250,1,0,0.0,1,0,Short-Term,not_popular
116,Spacious 2 Bedroom Apartment near BTS-non smoking,Phaya Thai,13.7736,100.54079,Entire home/apt,2571,3,109,1.15,4,56,Short-Term,not_popular
117,Private Studio Bed Room Walkable from BTS Ari,Phaya Thai,13.77808,100.5416,Entire home/apt,1000,120,18,0.41,1,0,Long-Term,not_popular
118,Stunning 24th Fl Terrace Penthouse!,Chatu Chak,13.80994,100.5651,Entire home/apt,4156,30,0,0.0,1,0,Long-Term,not_popular
119,CityCenter BTS Ari AREE FastWifi+Kitchen+SwimPool,Phaya Thai,13.77776,100.54353,Entire home/apt,3847,9,34,0.32,1,0,Short-Term,not_popular
120,Deluxe Condo at perfect location 2-0,Vadhana,13.73757,100.55996,Entire home/apt,1485,3,206,1.83,3,20,Short-Term,popular
121,Wow! Entire 3 story house in Bangkok,Dusit,13.77537,100.52383,Entire home/apt,2814,1,271,2.97,1,2,Short-Term,popular
122,✴✴Colorful Room with Soaring Views in Center BKK✴✴,Sathon,13.72062,100.54707,Entire home/apt,707,1,93,0.95,37,11,Short-Term,not_popular
123,Brand New room near Airport Railway,Bang Kapi,13.75056,100.60844,Private room,1316,5,1,0.01,1,0,Short-Term,not_popular
124,State tower riverview 42th freewifi,Bang Rak,13.72225,100.51642,Private room,2061,30,11,0.1,4,0,Long-Term,not_popular
125,1Br riverview 42th State tower wifi,Bang Rak,13.72221,100.51568,Private room,2061,30,3,0.03,4,0,Long-Term,not_popular
126,"Cozy Studio by BTS: Wifi, Pool #2",Phra Khanong,13.69821,100.60626,Entire home/apt,600,120,77,0.7,6,2,Long-Term,not_popular
127,☀ ☼Sky bedroom with a smooth life view☼☀,Sathon,13.72061,100.54706,Entire home/apt,750,1,426,3.39,37,10,Short-Term,popular
128,Transit DMK & Not far from Impact,Lak Si,13.88974,100.56257,Private room,800,1,27,0.23,4,0,Short-Term,not_popular
129,✬Sweet Dreams in the Center of Bangkok@Sky House✬,Sathon,13.72062,100.54709,Entire home/apt,693,1,224,1.84,37,4,Short-Term,popular
130,F/F Studio APT For Rent. ARI BTS.,Phaya Thai,13.78148,100.54868,Private room,1088,2,1,0.02,2,0,Short-Term,not_popular
131,Big Jacuzzi+BTS/BRT+wifi 100mbps,Thon buri,13.71699,100.4783,Entire home/apt,2000,7,0,0.0,19,0,Short-Term,not_popular
132,1 BR Near BTS WIFI/POOL/FITNESS (B),Bang Na,13.67926,100.61655,Entire home/apt,808,29,147,1.18,6,2,Long-Term,not_popular
133,Studio ๏ Affordable comfort,Phaya Thai,13.78887,100.56009,Entire home/apt,500,30,4,0.03,1,0,Long-Term,not_popular
134,Cosy 1 bed room service apartment!,Din Daeng,13.78777,100.56551,Entire home/apt,866,1,6,0.05,1,0,Short-Term,not_popular
135,Hip Luxury Apt in Best Location,Parthum Wan,13.74088,100.54102,Entire home/apt,3097,12,120,1.03,1,1,Short-Term,not_popular
136,Metro view of studio near BTS Ari,Phaya Thai,13.78686,100.54951,Entire home/apt,850,30,14,0.13,1,0,Long-Term,not_popular
137,"1 bedroom apartment, Center Bangkok",Sathon,13.72109,100.53915,Entire home/apt,1212,300,35,0.31,3,3,Long-Term,not_popular
138,"Top of ""Old Siam""- 17th floor views",Phra Nakhon,13.76473,100.49718,Entire home/apt,935,30,34,0.31,1,1,Long-Term,not_popular
139,Furnished studio 5min from Skytrain,Phaya Thai,13.78761,100.55319,Entire home/apt,623,365,0,0.0,2,0,Long-Term,not_popular
140,"Bangkok View, Luxurious 1 bedroom,Sathorn.",Sathon,13.70644,100.52544,Entire home/apt,1212,21,0,0.0,2,0,Short-Term,not_popular
141,"Private Room@Chatuchak,BTS,JJ market,DMK airport",Phaya Thai,13.79221,100.54631,Private room,399,1,33,0.78,1,0,Short-Term,not_popular
142,U Delight  @ Jatujak Station,Chatu Chak,13.79844,100.55726,Entire home/apt,591,365,0,0.0,1,0,Long-Term,not_popular
143,1BR River view 19th State tower,Bang Rak,13.72007,100.51711,Private room,1300,30,3,0.03,4,0,Long-Term,not_popular
144,Le Siam heritage Residence,Bang Rak,13.72063,100.51611,Private room,1300,30,0,0.0,4,0,Long-Term,not_popular
145,"One Bed apartmentm,The Seed Mingle condo, Bangkok",Sathon,13.72075,100.53993,Entire home/apt,1558,21,2,0.04,2,0,Short-Term,not_popular
146,NEW River Condo Center BTS temples,Khlong San,13.72077,100.51202,Entire home/apt,3281,360,37,0.3,2,0,Long-Term,not_popular
147,Unique 2 bd-apt right above pool,Vadhana,13.73332,100.57099,Entire home/apt,2220,21,58,0.53,2,2,Short-Term,not_popular
148,SSIP HOME-15minWalkKhaosan-FreeBreakfast-TripleBed,Dusit,13.77073,100.50478,Private room,7500,1,0,0.0,3,0,Short-Term,not_popular
149,Mini chic Apartment -BTS S Taksin,Sathon,13.71425,100.51332,Entire home/apt,703,1,206,1.79,41,6,Short-Term,popular
150,Luxury Condo @ The Heart of Bangkok,Vadhana,13.74283,100.58651,Entire home/apt,1974,180,0,0.0,1,0,Long-Term,not_popular
151,2 Bed Serviced Penthouse SkyVillas,Sathon,13.72027,100.52851,Entire home/apt,3757,2,135,1.19,7,3,Short-Term,not_popular
152,Contemporary Modern Duplex - Thonglor,Khlong Toei,13.72242,100.57962,Entire home/apt,1489,30,81,0.72,1,3,Long-Term,not_popular
153,Chao Phraya Rumors,Samphanthawong,13.73989,100.50179,Private room,1732,5,1,0.01,1,0,Short-Term,not_popular
154,Master Suite in Pool Villa,Vadhana,13.74618,100.55168,Private room,9600,28,1,0.01,2,0,Long-Term,not_popular
155,Loft Studio 6 min BTS Sapan Taksin,Sathon,13.71506,100.51319,Entire home/apt,1100,100,117,1.02,41,0,Long-Term,not_popular
156,FABB Modern 4. BTS Sapan Taksin,Sathon,13.7133,100.51337,Entire home/apt,1100,1,146,1.27,41,0,Short-Term,not_popular
157,Great Studio in Great Area 24Sqm.,Suanluang,13.72383,100.61609,Entire home/apt,1306,28,2,0.02,4,0,Long-Term,not_popular
158,City heart resort style condo.,Phaya Thai,13.78064,100.54393,Entire home/apt,1385,3,7,0.07,1,0,Short-Term,not_popular
159,Large cozy Studio in on nut 17,Suanluang,13.7234,100.61828,Entire home/apt,1212,10,10,0.1,10,0,Short-Term,not_popular
160,New & Nice 1 Bed Apt Thonglor BTS,Khlong Toei,13.72062,100.58019,Entire home/apt,1732,2,0,0.0,1,0,Short-Term,not_popular
161,Bangkok Riverside near Asiatique,Bang Kho laen,13.7016,100.50262,Entire home/apt,4800,2,18,0.2,2,0,Short-Term,not_popular
162,Amazing studio in Onnut,Suanluang,13.72158,100.61654,Entire home/apt,999,10,11,0.12,4,2,Short-Term,not_popular
163,Luxury 2BR Pool Villa /Cul-de-Sac (4 weeks +),Vadhana,13.73668,100.56693,Entire home/apt,4156,28,4,0.03,2,0,Long-Term,not_popular
164,Big space in eastern BKK,Bang Kapi,13.75878,100.64988,Entire home/apt,519,4,1,0.01,1,0,Short-Term,not_popular
165,Chambre privée en condominium,Khlong Toei,13.73684,100.55488,Private room,1500,7,0,0.0,1,0,Short-Term,not_popular
166,Elegant 2-Brm Condo in Heart of Bangkok,Bang Rak,13.72543,100.53838,Entire home/apt,5195,3,95,0.92,1,14,Short-Term,not_popular
167,Five artist loft apartments,Bang Na,13.67826,100.60592,Entire home/apt,1750,28,0,0.0,2,0,Long-Term,not_popular
168,Lovely quaint Bangkok home,Din Daeng,13.78499,100.56958,Entire home/apt,2000,2,26,0.22,1,2,Short-Term,not_popular
169,"MODERN STUDIO SKYTRAIN, WIFI, 40%Monthly Discount!",Huai Khwang,13.74538,100.59943,Entire home/apt,888,7,53,0.46,8,7,Short-Term,not_popular
170,Budget price but 5 star value near new skytrain,Bang Sue,13.83148,100.52151,Entire home/apt,1000,3,7,0.06,7,0,Short-Term,not_popular
171,Jade House overlooking Pool near new skytrain,Bang Sue,13.83148,100.52307,Entire home/apt,1200,3,21,0.18,7,1,Short-Term,not_popular
172,"3min to BTS, Late Checkout, WiFi, Pool, Cable, BNH",Bang Rak,13.72425,100.53087,Entire home/apt,2147,5,101,0.95,2,10,Short-Term,not_popular
173,Great bright&spacious 1B BTS Onnut,Khlong Toei,13.70486,100.60152,Entire home/apt,850,21,33,0.28,3,1,Short-Term,not_popular
174,comfortable in Bangkok Near MRT,Din Daeng,13.77126,100.57088,Private room,1200,2,0,0.0,1,0,Short-Term,not_popular
175,3.Cool Chic apartment walk 5 min BTS Sathon,Sathon,13.71628,100.51238,Entire home/apt,950,1,109,0.95,41,5,Short-Term,not_popular
176,2BR Apt. near Sathon Silom-free WIFI,Sathon,13.71972,100.54924,Entire home/apt,1693,30,25,0.21,2,4,Long-Term,not_popular
177,95 sqm. 2 br. 1-5 people. Next to thonglor bts,Khlong Toei,13.72393,100.57647,Entire home/apt,3300,5,26,0.3,3,9,Short-Term,not_popular
178,Superior Double Room Near Airport,Suanluang,13.73789,100.64271,Private room,850,1,8,0.11,10,1,Short-Term,not_popular
179,Superior Twin Room Near Airport,Suanluang,13.73613,100.64319,Private room,1050,1,0,0.0,10,0,Short-Term,not_popular
180,Studio in Beung Kum,Bueng Kum,13.78327,100.67124,Private room,700,1,3,0.07,10,0,Short-Term,not_popular
181,Superior Double Room Near Yanhen Hospital,Bang Phlat,13.80698,100.5121,Private room,1050,1,0,0.0,10,0,Short-Term,not_popular
182,Superior Twin Room Near Yanhee Hospital,Bang Phlat,13.80657,100.51192,Private room,1050,1,0,0.0,10,0,Short-Term,not_popular
183,Superior Db Rm Near Yanhee Hospital,Bang Phlat,13.80685,100.5125,Private room,1050,1,0,0.0,10,0,Short-Term,not_popular
184,Sathorn Apt with urban vibe,Sathon,13.71663,100.52864,Entire home/apt,868,4,97,0.89,1,11,Short-Term,not_popular
185,Family Apartment for rent.,Wang Thong Lang,13.77933,100.61957,Private room,4873,1,0,0.0,1,0,Short-Term,not_popular
186,วรภาดา น้อยพันธ์,Bang Rak,13.7318,100.52351,Private room,980,1,0,0.0,1,0,Short-Term,not_popular
187,Sarin Place Lodge,Chatu Chak,13.82824,100.56594,Entire home/apt,1054,28,20,0.27,6,0,Long-Term,not_popular
188,"Modern, cosy, great pool/gym",Huai Khwang,13.74742,100.56678,Entire home/apt,1020,29,12,0.12,2,3,Long-Term,not_popular
189,New Studio 2KM to BTS- Sukhumvit 77,Suanluang,13.72347,100.61812,Entire home/apt,1004,10,6,0.08,10,0,Short-Term,not_popular
190,Nostalgic Thai House - The Villa,Nong Chok,13.77672,100.83851,Entire home/apt,8658,1,1,0.01,2,0,Short-Term,not_popular
191,"NEWLY Renovated! 1BR by the river, near IconSiam",Khlong San,13.72174,100.50769,Entire home/apt,1635,3,88,0.8,1,8,Short-Term,not_popular
192,Thai house overlooking pond & lotus,Nong Chok,13.77624,100.83931,Entire home/apt,3463,2,1,0.01,2,0,Short-Term,not_popular
193,"River view penthouse 30 Fl, 5 Pers,  taxi included",Khlong San,13.72135,100.508,Entire home/apt,7929,2,256,2.13,1,43,Short-Term,popular
194,✩Vibrant street✩Cozy n Cool near MRT Silom/center✩,Sathon,13.72065,100.54713,Entire home/apt,850,1,278,2.31,37,10,Short-Term,popular
195,Home Sweet Home For Your Family near new skytrain,Bang Sue,13.83235,100.5228,Entire home/apt,1500,3,37,0.31,7,0,Short-Term,not_popular
